component,bus,carrier,2025,2035,2045
Generator,DE0 23 solid biomass,solid biomass,10000.0,3758737.60828,5536714.80446
Generator,DE0 23 solid biomass,unsustainable solid biomass,4747134.60572,1542169.13704,
Generator,DE0 23 unsustainable bioliquids,unsustainable bioliquids,1328428.90944,429664.33197,
Generator,DE0 23 urban central heat,urban central heat vent,108.41216,276.00141,0.20468
Generator,DE0 23 urban decentral heat,urban decentral heat vent,0.60022,0.26969,0.01063
Generator,DE0 24,onwind,2518.49719,1766.13197,9404.95771
Generator,DE0 24,ror,67.783,67.783,67.783
Generator,DE0 24,solar,2818.76955,2819.0091,2751.78352
Generator,DE0 24,solar-hsat,177.94261,4543.82793,8583.06789
Generator,DE0 24 biogas,unsustainable biogas,3696128.06102,1185871.11846,
Generator,DE0 24 low voltage,solar rooftop,0.28359,3722.87002,3722.87033
Generator,DE0 24 rural heat,rural heat vent,10.06771,19.95339,0.81578
Generator,DE0 24 solid biomass,solid biomass,10000.0,4686156.09583,6868759.14279
Generator,DE0 24 solid biomass,unsustainable solid biomass,6222624.85586,2003267.62081,
Generator,DE0 24 unsustainable bioliquids,unsustainable bioliquids,1742198.84993,558969.62027,
Generator,DE0 24 urban central heat,urban central heat vent,205.49513,159.89829,0.27003
Generator,DE0 24 urban decentral heat,urban decentral heat vent,0.5044,0.277,0.0121
Generator,DE0 25,onwind,1411.07673,5269.47904,5269.48358
Generator,DE0 25,ror,128.613,128.613,128.613
Generator,DE0 25,solar,1794.67625,1794.91555,1752.03315
Generator,DE0 25,solar-hsat,0.55438,0.87417,0.13118
Generator,DE0 25 biogas,unsustainable biogas,2222092.94711,736806.93646,
Generator,DE0 25 low voltage,solar rooftop,0.25243,5515.45894,5515.45945
Generator,DE0 25 rural heat,rural heat vent,5.23735,16.95623,0.80727
Generator,DE0 25 solid biomass,solid biomass,10000.0,2460972.78295,3620582.27042
Generator,DE0 25 solid biomass,unsustainable solid biomass,3744997.71852,1248459.5479,
Generator,DE0 25 unsustainable bioliquids,unsustainable bioliquids,1047400.87816,347299.70827,
Generator,DE0 25 urban central heat,urban central heat vent,0.93874,7.16637,0.24193
Generator,DE0 25 urban decentral heat,urban decentral heat vent,0.47266,16.44751,0.99259
Generator,DE0 26,onwind,1393.97302,5205.61595,5205.61579
Generator,DE0 26,ror,109.05,109.05,109.05
Generator,DE0 26,solar,1566.43553,1566.68912,1529.23055
Generator,DE0 26,solar-hsat,0.86957,4685.44142,5613.59971
Generator,DE0 26 biogas,unsustainable biogas,1741505.13784,580130.06315,
Generator,DE0 26 low voltage,solar rooftop,0.30337,2643.87546,2643.87574
Generator,DE0 26 rural heat,rural heat vent,4.21017,20.5727,0.71025
Generator,DE0 26 solid biomass,solid biomass,10000.0,2079347.58866,3136644.13838
Generator,DE0 26 solid biomass,unsustainable solid biomass,2937203.25901,985109.73388,
Generator,DE0 26 unsustainable bioliquids,unsustainable bioliquids,820872.05806,273448.83947,
Generator,DE0 26 urban central heat,urban central heat vent,69.47418,6.54064,0.22792
Generator,DE0 26 urban decentral heat,urban decentral heat vent,0.46868,24.02907,0.82639
Generator,DE0 27,offwind-ac,39.71637,65.1053,65.48823
Generator,DE0 27,onwind,1853.5517,6921.85589,6921.85603
Generator,DE0 27,ror,19.9,19.9,19.9
Generator,DE0 27,solar,2834.30926,2834.52329,2766.90644
Generator,DE0 27,solar-hsat,0.35117,0.53052,0.03912
Generator,DE0 27 biogas,unsustainable biogas,2779833.98529,931428.43911,
Generator,DE0 27 low voltage,solar rooftop,0.39386,3605.71034,3605.79367
Generator,DE0 27 rural heat,rural heat vent,12.81201,14.2518,0.6797
Generator,DE0 27 solid biomass,solid biomass,10000.0,3449917.87692,5212018.50567
Generator,DE0 27 solid biomass,unsustainable solid biomass,4682474.93243,1575588.46899,
Generator,DE0 27 unsustainable bioliquids,unsustainable bioliquids,1310296.47572,439036.07467,
Generator,DE0 27 urban central heat,urban central heat vent,114.42286,6.89485,0.2163
Generator,DE0 27 urban decentral heat,urban decentral heat vent,0.50751,19.93065,0.72566
Generator,DE0 28,onwind,2539.30682,1780.58971,821.78296
Generator,DE0 28,ror,126.325,126.325,126.325
Generator,DE0 28,solar,3055.83101,3056.0975,2983.20471
Generator,DE0 28,solar-hsat,14856.59319,14858.57672,14856.77703
Generator,DE0 28 biogas,unsustainable biogas,2578239.41593,850822.00083,
Generator,DE0 28 low voltage,solar rooftop,0.44937,4916.47518,4916.47598
Generator,DE0 28 rural heat,rural heat vent,4.10122,102.37618,1.92994
Generator,DE0 28 solid biomass,solid biomass,10000.0,3099253.92678,4532057.78087
Generator,DE0 28 solid biomass,unsustainable solid biomass,4343625.35478,1440101.39881,
Generator,DE0 28 unsustainable bioliquids,unsustainable bioliquids,1215273.29982,401041.59998,
Generator,DE0 28 urban central heat,urban central heat vent,288.48773,7.39372,0.23841
Generator,DE0 28 urban decentral heat,urban decentral heat vent,0.50329,301.88009,4.77676
Generator,DE0 29,onwind,1712.16999,1200.60586,554.03536
