component,name,bus,carrier,2025,2035,2045
Link,CO2 pipeline DE0 4 -> LU0 0-2025,DE0 4 co2 stored,CO2 pipeline,0.1122,,
Link,CO2 pipeline DE0 4 -> NL0 0-2025,DE0 4 co2 stored,CO2 pipeline,0.08617,,
Link,CO2 pipeline DE0 5 -> DE0 6-2025,DE0 5 co2 stored,CO2 pipeline,0.04222,,
Link,CO2 pipeline DE0 5 -> DE0 7-2025,DE0 5 co2 stored,CO2 pipeline,0.03949,,
Link,CO2 pipeline DE0 6 -> FR0 0-2025,DE0 6 co2 stored,CO2 pipeline,0.35261,,
Link,DE gas compressing,DE gas primary,gas compressing,1000000.0,1000000.0,1000000.0
Link,DE industry methanol,DE methanol,industry methanol,587.89954,728.3105,779.68037
Link,DE methanol -> EU methanol,DE methanol,methanol,1000000.0,1000000.0,1000000.0
Link,DE oil refining,DE oil primary,oil refining,1000000.0,1000000.0,1000000.0
Link,DE renewable gas -> DE gas,DE renewable gas,renewable gas,1000000.0,1000000.0,1000000.0
Link,DE renewable gas -> EU gas,DE renewable gas,renewable gas,1000000.0,1000000.0,1000000.0
Link,DE renewable oil -> DE oil,DE renewable oil,renewable oil,1000000.0,1000000.0,1000000.0
Link,DE renewable oil -> EU oil,DE renewable oil,renewable oil,1000000.0,1000000.0,1000000.0
Link,DE0 0 BEV charger-2025,DE0 0 low voltage,BEV charger,5096.37514,,
Link,DE0 0 CCGT-1965,DE gas,CCGT,153.50877,153.50877,153.50877
Link,DE0 0 CCGT-2015,DE gas,CCGT,33.15789,33.15789,33.15789
Link,DE0 0 CCGT-2025,DE gas,CCGT,319.00104,319.00104,319.00104
Link,DE0 0 Fischer-Tropsch-2025,DE0 0 H2,Fischer-Tropsch,0.01557,,
Link,DE0 0 H2 Electrolysis-2025,DE0 0,H2 Electrolysis,0.00581,,
Link,DE0 0 H2 Fuel Cell-2025,DE0 0 H2,H2 Fuel Cell,0.00938,,
Link,DE0 0 H2 turbine-2025,DE0 0 H2,H2 turbine,0.03765,,
Link,DE0 0 OCGT-2025,DE gas,OCGT,0.04275,,
Link,DE0 0 SMR CC-2025,DE gas,SMR CC,21.21262,21.21262,21.21262
