component,bus,carrier,2025,2035,2045
Generator,IT0 0,ror,7755.44,7755.44,7755.44
Generator,IT0 0,solar,28270.81621,28271.34878,28239.63006
Generator,IT0 0,solar-hsat,61775.04846,233320.58213,434724.60419
Generator,IT0 0 biogas,unsustainable biogas,23010887.91822,7600405.65987,
Generator,IT0 0 low voltage,solar rooftop,12038.48829,105059.88639,105059.90488
Generator,IT0 0 rural heat,rural heat vent,21.91955,15.91223,7.75949
Generator,IT0 0 solid biomass,solid biomass,10000.0,35209540.95701,55221203.16909
Generator,IT0 0 solid biomass,unsustainable solid biomass,83010790.24024,27424834.1497,
Generator,IT0 0 unsustainable bioliquids,unsustainable bioliquids,12132183.18319,4007212.32748,
Generator,IT0 0 urban central heat,urban central heat vent,9.35341,18.12353,13.84443
Generator,IT0 0 urban decentral heat,urban decentral heat vent,30.45262,17.32094,7.55545
Generator,IT3 0,offwind-ac,0.10232,0.10201,0.0474
Generator,IT3 0,onwind,1160.50204,3763.18939,4758.73658
Generator,IT3 0,ror,116.1,116.1,116.1
Generator,IT3 0,solar,1516.70741,1517.08786,1517.23767
Generator,IT3 0,solar-hsat,3019.58569,3466.3765,5949.46965
Generator,IT3 0 biogas,unsustainable biogas,402500.15178,126012.40323,
Generator,IT3 0 low voltage,solar rooftop,917.67335,2672.6787,2672.68202
Generator,IT3 0 rural heat,rural heat vent,16.85629,18.52044,10.30157
Generator,IT3 0 solid biomass,solid biomass,10000.0,413885.05585,668663.10129
Generator,IT3 0 solid biomass,unsustainable solid biomass,1461827.09976,464529.5725,
Generator,IT3 0 unsustainable bioliquids,unsustainable bioliquids,212212.82681,66438.35582,
Generator,IT3 0 urban central heat,urban central heat vent,10.51992,21.19406,963.25236
Generator,IT3 0 urban decentral heat,urban decentral heat vent,69.28932,29.64252,11.37955
Generator,LU0 0,onwind,228.90993,1051.32861,1051.34276
Generator,LU0 0,solar,425.77074,426.02553,402.57391
Generator,LU0 0,solar-hsat,1.49754,1123.18108,1353.58427
Generator,LU0 0 biogas,unsustainable biogas,209223.7,69043.821,
Generator,LU0 0 low voltage,solar rooftop,0.33995,1038.55344,1038.56251
Generator,LU0 0 rural heat,rural heat vent,0.18294,26.63727,13.05341
Generator,LU0 0 solid biomass,solid biomass,10000.0,623135.67687,894221.97325
Generator,LU0 0 solid biomass,unsustainable solid biomass,1335401.32,447382.4356,
Generator,LU0 0 urban central heat,urban central heat vent,0.11017,7.58008,2.85861
